schema_version,metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,ascertainment_scope,mortality_definition,estimate_basis,statistic,value,unit,numerator,denominator,linkage_lower_value,linkage_upper_value,ci_lower_value,ci_upper_value,ci_level,ci_method,comparison_n,status_flag,method_version,population_source,country_iso3,population_unit,population_extraction_date,population_basis,standard_population,suppression_status,disclosure_note,display_value
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,159.1068083131343,rate_per_100000,,,146.3250886631606,241.5489000554654,146.7349610775854,172.5107366217404,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,159.107
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,annual_count,555,count,555,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,555.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_count,629.3624161073826,count,629.3624161073826,,575,980,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,629.362
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,additional_dco,primary,estimated,annual_count,39.91489361702127,count,39.91489361702127,,12,230.6666666666667,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,39.915
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q4,2010-10-01,2010,10,4,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,79,count,79,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,79.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q3,2010-07-01,2010,7,3,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,64,count,64,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,64.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,hospital_plus_dco,primary,estimated,annual_count,325.9148936170213,count,325.9148936170213,,298,516.6666666666667,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,325.915
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,annual_count,286,count,286,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,286.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,hospital_plus_dco,primary,estimated,annual_crude_rate,226.7005370707103,rate_per_100000,325.9148936170213,143764.5,207.2834392356945,359.3840389433182,202.7537433143611,252.698007044057,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,226.701
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_count,334.3355704697987,count,334.3355704697987,,299,562.25,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,334.336
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,additional_dco,inclusive,estimated,annual_count,48.33557046979865,count,48.33557046979865,,13,276.25,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,48.336
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,age_standardised,national_estimate,hospital_plus_dco,primary,estimated,annual_age_standardised_rate,136.318855102126,rate_per_100000,,,126.2243305644168,205.298106109805,121.4342220722116,153.1652615193652,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,136.319
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,sex_distribution,51.53153153153153,percent,286,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,51.532
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q1,2010-01-01,2010,1,1,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,86,count,86,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,86.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,232.5578084087509,rate_per_100000,334.3355704697987,143764.5,207.9790212465525,391.0909856049303,208.2950102932595,258.8708122313852,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,232.558
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,139.1833697405829,rate_per_100000,,,126.537388254012,220.7499503289655,124.1696069255262,156.1542614863334,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,139.183
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,annual_crude_rate,198.9364551053981,rate_per_100000,286,143764.5,,,176.5464194045599,223.3796712317091,95,poisson_exact_garwood,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,198.936
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,female,age_standardised,hospital_registered,hospital_only,not_applicable,observed,annual_age_standardised_rate,121.8849160527797,rate_per_100000,,,,,107.7210556120449,138.0309174325641,95,fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,121.885
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q2,2010-04-01,2010,4,2,1,all_cvd,female,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,57,count,57,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,57.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q1,2010-01-01,2010,1,1,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,80,count,80,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,80.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q3,2010-07-01,2010,7,3,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,62,count,62,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,62.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,hospital_plus_dco,primary,estimated,annual_count,288.9574468085106,count,288.9574468085106,,275,384.3333333333334,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,288.957
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,annual_count,269,count,269,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,269.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_count,295.0268456375839,count,295.0268456375839,,276,417.75,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,295.027
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,sex_distribution,48.46846846846847,percent,269,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,48.468
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,183.7374990110903,rate_per_100000,,,170.5468226271232,268.8173616876775,162.950319478489,208.8299376226276,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,183.737
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q4,2010-10-01,2010,10,4,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,71,count,71,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,71.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,additional_dco,primary,estimated,annual_count,19.95744680851064,count,19.95744680851064,,6,115.3333333333334,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,19.957
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,age_standardised,hospital_registered,hospital_only,not_applicable,observed,annual_age_standardised_rate,165.6939565006761,rate_per_100000,,,,,146.2009938001952,189.5022072283838,95,fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,165.694
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,age_standardised,national_estimate,hospital_plus_dco,primary,estimated,annual_age_standardised_rate,179.9823976483846,rate_per_100000,,,169.9896285728016,248.2663196648678,159.4223338677045,204.8531005913969,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,179.982
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,hospital_plus_dco,primary,estimated,annual_crude_rate,219.7746003609022,rate_per_100000,288.9574468085106,131479,209.1588770830323,292.3153760930136,195.1623744350304,246.6316354497582,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,219.775
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,additional_dco,inclusive,estimated,annual_count,26.0268456375839,count,26.0268456375839,,7,148.75,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,26.027
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,224.3908499742042,rate_per_100000,295.0268456375839,131479,209.9194548178797,317.7313487324972,199.5138034206323,251.5122604474185,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,224.391
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q2,2010-04-01,2010,4,2,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,56,count,56,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,56.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,hospital_registered,hospital_only,not_applicable,observed,annual_crude_rate,204.5954106739479,rate_per_100000,269,131479,,,180.8741904545264,230.5630081473088,95,poisson_exact_garwood,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,204.595
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,,rate_per_100000,,,,,,,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,all,hospital_registered,hospital_only,not_applicable,observed,event_type_distribution,22.70270270270271,percent,126,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,22.703
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q3,2010-07-01,2010,7,3,1,heart,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,26,count,26,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,26.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,age_standardised,hospital_registered,hospital_only,not_applicable,observed,annual_age_standardised_rate,32.79343568229,rate_per_100000,,,,,27.25262840732056,39.42463391857587,95,fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,32.793
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q2,2010-04-01,2010,4,2,1,heart,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,19,count,19,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,19.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,all,national_estimate,hospital_plus_dco,primary,estimated,annual_crude_rate,,rate_per_100000,,,,,,,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q1,2010-01-01,2010,1,1,1,heart,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,38,count,38,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,38.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,age_standardised,national_estimate,hospital_plus_dco,primary,estimated,annual_age_standardised_rate,,rate_per_100000,,,,,,,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,heart,all,all,national_estimate,additional_dco,inclusive,estimated,annual_count,,count,,,,,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,primary,Primary suppression: supporting frequency 1-5.,*
