year,etype,event_group,sex,sex_group,median_days,lower_quartile_days,upper_quartile_days,display_median,display_lower,display_upper,suppression_status,period_status,coverage_end
2018,Stroke,Stroke,Male,Male,7,3,19,7.0,3.0,19.0,none,complete,2024-01-31
2018,AMI,AMI,Female,Female,7,5,10,7.0,5.0,10.0,none,complete,2024-01-31
2018,AMI,AMI,Male,Male,6,4,8.5,6.0,4.0,8.5,none,complete,2024-01-31
2019,Stroke,Stroke,Female,Female,8,3,18,8.0,3.0,18.0,none,complete,2024-01-31
2019,Stroke,Stroke,Male,Male,9,4,21,9.0,4.0,21.0,none,complete,2024-01-31
2019,AMI,AMI,Female,Female,7,5,9,7.0,5.0,9.0,none,complete,2024-01-31
2019,AMI,AMI,Male,Male,6,4,8.5,6.0,4.0,8.5,none,complete,2024-01-31
2020,Stroke,Stroke,Female,Female,6,2,12.5,6.0,2.0,12.5,none,complete,2024-01-31
2020,Stroke,Stroke,Male,Male,7,3,17,7.0,3.0,17.0,none,complete,2024-01-31
2020,AMI,AMI,Female,Female,6,4,7.5,6.0,4.0,7.5,none,complete,2024-01-31
2020,AMI,AMI,Male,Male,6,4,8,6.0,4.0,8.0,none,complete,2024-01-31
2021,Stroke,Stroke,Female,Female,7,3,19,7.0,3.0,19.0,none,complete,2024-01-31
2021,Stroke,Stroke,Male,Male,10,4,20,10.0,4.0,20.0,none,complete,2024-01-31
2021,AMI,AMI,Female,Female,6,5,9,6.0,5.0,9.0,none,complete,2024-01-31
2021,AMI,AMI,Male,Male,5,4,7,5.0,4.0,7.0,none,complete,2024-01-31
2022,Stroke,Stroke,Female,Female,11,3,21,11.0,3.0,21.0,none,complete,2024-01-31
2022,Stroke,Stroke,Male,Male,9,3,19,9.0,3.0,19.0,none,complete,2024-01-31
2022,AMI,AMI,Female,Female,8,6,10,8.0,6.0,10.0,none,complete,2024-01-31
2022,AMI,AMI,Male,Male,6,4,8,6.0,4.0,8.0,none,complete,2024-01-31
2023,Stroke,Stroke,Female,Female,9,4,20,9.0,4.0,20.0,none,complete,2024-01-31
2023,Stroke,Stroke,Male,Male,11,4.5,20,11.0,4.5,20.0,none,complete,2024-01-31
2023,AMI,AMI,Female,Female,7,5,9,7.0,5.0,9.0,none,complete,2024-01-31
2023,AMI,AMI,Male,Male,6,5,9.5,6.0,5.0,9.5,none,complete,2024-01-31
2024,Stroke,Stroke,Female,Female,12.5,3,19,12.5,3.0,19.0,none,year_to_date,2024-01-31
2024,Stroke,Stroke,Male,Male,14,3,30,14.0,3.0,30.0,none,year_to_date,2024-01-31
2024,AMI,AMI,Female,Female,,,,Suppressed,Suppressed,Suppressed,primary,year_to_date,2024-01-31
2024,AMI,AMI,Male,Male,5.5,4,8.5,5.5,4.0,8.5,none,year_to_date,2024-01-31
