metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,sdc_policy,step4_primary_flag,step4_related_flag,previous_release_id,previous_release_found,previous_value,temporal_increment,temporal_check,step5_temporal_flag,step5_complementary_flag,step5_derived_flag,suppression_status,disclosure_note,suppression_note
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,hospital_registered,annual_count,286,286,count,286,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,all_cvd,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,all,all,hospital_registered,annual_count,187,187,count,187,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,female,all,hospital_registered,annual_count,96,96,count,96,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,male,all,hospital_registered,annual_count,91,91,count,91,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,ami,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,all,all,hospital_registered,annual_count,397,397,count,397,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,female,all,hospital_registered,annual_count,202,202,count,202,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,male,all,hospital_registered,annual_count,195,195,count,195,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2012,2012-01-01,2012,,,1,stroke,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,2,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_count,349,349,count,349,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,all,hospital_registered,annual_count,697,697,count,697,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,under_70,hospital_registered,annual_count,348,348,count,348,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,all,under_70,hospital_registered,annual_previous_5yr_mean,,,count,,,3,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2013,2013-01-01,2013,,,1,all_cvd,female,all,hospital_registered,annual_count,342,342,count,342,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
