metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,case_definition,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,ci_lower_value,ci_upper_value,ci_level,ci_method,sdc_policy,primary_suppression_threshold,primary_suppression,related_primary_cells,related_suppression_review,suppression_review,suppression_reason,deaths,ci_variance,ci_max_weight,__upper_point,__upper_variance,suppression_status,disclosure_note
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,primary_clear_likely,death_certificate,annual_count,220,220,count,220,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,all,all,primary_clear_likely,death_certificate,annual_count,218,218,count,218,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,female,all,primary_clear_likely,death_certificate,annual_count,110,110,count,110,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,female,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,male,all,primary_clear_likely,death_certificate,annual_count,108,108,count,108,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,all,all,primary_clear_likely,death_certificate,annual_count,256,256,count,256,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,female,all,primary_clear_likely,death_certificate,annual_count,144,144,count,144,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,female,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,male,all,primary_clear_likely,death_certificate,annual_count,112,112,count,112,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,male,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,upper_clear_likely_possible,death_certificate,annual_count,389,389,count,389,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,upper_clear_likely_possible,death_certificate,annual_count,540,540,count,540,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,under_70,upper_clear_likely_possible,death_certificate,annual_count,151,151,count,151,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,under_70,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,female,all,upper_clear_likely_possible,death_certificate,annual_count,282,282,count,282,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,female,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,upper_clear_likely_possible,death_certificate,annual_count,258,258,count,258,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,all,all,upper_clear_likely_possible,death_certificate,annual_count,266,266,count,266,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,all,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,female,all,upper_clear_likely_possible,death_certificate,annual_count,129,129,count,129,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,female,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,male,all,upper_clear_likely_possible,death_certificate,annual_count,137,137,count,137,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,heart,male,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,all,all,upper_clear_likely_possible,death_certificate,annual_count,274,274,count,274,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,stroke,all,all,upper_clear_likely_possible,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
