metric_id,release_id,period_type,period,period_start,period_year,period_month,event_type,sex,age_group,age_group_order,source_status,statistic,value,unit,numerator,denominator,comparison_n,status_flag
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,55_64,3,hospital_registered,annual_count,34,count,34,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,65_74,4,hospital_registered,annual_count,45,count,45,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,75_84,5,hospital_registered,annual_count,46,count,46,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,85_plus,6,hospital_registered,annual_count,26,count,26,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,75_84,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,85_plus,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,all,0,hospital_registered,annual_count,504,count,504,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,all,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,under_45,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,unknown,0,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,75_84,1,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
